mlcq_repo,github_repo,commit_esperado,commit_clonado,junit,status,linhas_bytestsmells,linhas_byclasstest,segundos,detalhe
SAP/cf-java-client-sap,test-smells-cf-java-client-sap,d82627cf3cf43bb556746e8a297338353b86a932,d82627cf3cf43bb556746e8a297338353b86a932,JUnit4,OK,614,16,29,
SAP/cloud-espm-v2,test-smells-cloud-espm-v2,a5254f2e6fea9b7226296fbe19eb30ab99192b8d,a5254f2e6fea9b7226296fbe19eb30ab99192b8d,JUnit4,OK,87,12,26,
SAP/iot-starterkit,test-smells-cloud-platform-iot-starterkit,f0d9ce06a1a98569a5a4eed76a2ec0aa87c1a1df,f0d9ce06a1a98569a5a4eed76a2ec0aa87c1a1df,JUnit4,OK,0,2,32,
SAP/olingo-jpa-processor-v4,test-smells-olingo-jpa-processor-v4,e61b432b876e60c093ba626a00432d4826893e10,e61b432b876e60c093ba626a00432d4826893e10,JUnit4,OK,1742,77,26,
Shopify/mobile-buy-sdk-android,test-smells-mobile-buy-sdk-android,913062d4d1e1e71091440df257dd9ac6db9c9957,913062d4d1e1e71091440df257dd9ac6db9c9957,JUnit4,OK,0,1,21,
Tencent/GT,test-smells-GT,6e115aa7927441a7348f747b1316d5f4c4b4241a,6e115aa7927441a7348f747b1316d5f4c4b4241a,JUnit4,OK,6,6,29,
Tencent/RapidView,test-smells-RapidView,f813c627f8592bad0f9c24643ee53f73b738f1aa,f813c627f8592bad0f9c24643ee53f73b738f1aa,JUnit3,OK,2323,27,24,
Tencent/soter,test-smells-soter,8ecde27599ce0f763b6c1f774d2e61e81c7ad6b8,8ecde27599ce0f763b6c1f774d2e61e81c7ad6b8,JUnit3,OK,0,0,22,
Tencent/tinker,test-smells-tinker,7523900600317ebd618f3505434176b381bd0bc2,7523900600317ebd618f3505434176b381bd0bc2,JUnit4,OK,3,3,22,
alexa/alexa-skills-kit-sdk-for-java,test-smells-alexa-skills-kit-sdk-for-java,bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9,bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9,JUnit4,OK,410,33,22,
alibaba/ARouter,test-smells-ARouter,93b328569bbdbf75e4aa87f0ecf48c69600591b2,93b328569bbdbf75e4aa87f0ecf48c69600591b2,JUnit4,OK,0,0,51,
alibaba/atlas,test-smells-atlas,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,JUnit4,OK,45,32,43,
alibaba/canal,test-smell-canal,08167c95c767fd3c9879584c0230820a8476a7a7,08167c95c767fd3c9879584c0230820a8476a7a7,JUnit4,OK,724,72,23,
alibaba/cobar,test-smells-cobar,bc36a14d4a3f8acc0db0b3b07a7db8d38afefda5,bc36a14d4a3f8acc0db0b3b07a7db8d38afefda5,JUnit4,OK,3621,54,29,
alibaba/druid,test-smells-alibaba-druid,768469fe4d1340efe1036453366a58c9ab7e30d1,768469fe4d1340efe1036453366a58c9ab7e30d1,JUnit4,OK,13561,1726,46,
alibaba/jstorm,test-smells-jstorm,5d6cde22dbca7df3d6e6830bf94f98a6639ab559,5d6cde22dbca7df3d6e6830bf94f98a6639ab559,JUnit4,OK,207,47,79,
alibaba/jvm-sandbox,test-smells-jvm-sandbox,5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e,5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e,JUnit4,OK,223,11,22,
alibaba/otter,test-smells-otter,a939897df75ae8aafdcbbbce0205d13ac87d6fdb,a939897df75ae8aafdcbbbce0205d13ac87d6fdb,JUnit3,OK,474,75,28,
amzn/ion-java,test-smells-ion-java,a19302d1ebcc5e8ca41d19342581364f89d09c1a,a19302d1ebcc5e8ca41d19342581364f89d09c1a,JUnit4,OK,3035,105,23,
apache/accumulo,test-smells-accumulo,f896c98c2356a52dfa2235d2cc02ae556ab17909,f896c98c2356a52dfa2235d2cc02ae556ab17909,JUnit4,OK,8124,378,29,
apache/accumulo-testing,test-smells-accumulo-testing,d87d448278d43750cc978c9f37bacaf7e8591bb9,d87d448278d43750cc978c9f37bacaf7e8591bb9,JUnit4,OK,1,1,21,
apache/activemq,test-smells-activemq,ccf56875b0660214e0a61bd2f8adc418143551fc,ccf56875b0660214e0a61bd2f8adc418143551fc,JUnit4,OK,12383,1055,48,
apache/activemq-apollo,test-smells-activemq-apollo,8e4b134b2a5d3576aa62cd8df9905a9fe2eba2d0,8e4b134b2a5d3576aa62cd8df9905a9fe2eba2d0,JUnit4,OK,423,28,24,
apache/activemq-artemis,test-smells-artemis,5bd5c610195d6f4a3dd1ac28170727003f8a5a54,5bd5c610195d6f4a3dd1ac28170727003f8a5a54,JUnit4,OK,32037,1327,61,
apache/airavata,test-smells-airavata,391843a00eefa7b6213e845f2f044b4e042894d5,391843a00eefa7b6213e845f2f044b4e042894d5,JUnit4,OK,354,40,29,
apache/ambari,test-smells-ambari,2bc4779a1e6aabe638101fc8b0e28cd1963d6b13,2bc4779a1e6aabe638101fc8b0e28cd1963d6b13,JUnit4,OK,25570,825,75,
apache/ant,test-smells-ant,9722f062dc68d6c321faf751621162ac8444c585,9722f062dc68d6c321faf751621162ac8444c585,JUnit5,OK,3643,298,29,
apache/ant-ivy,test-smells-ant-ivy,4ffcf8f06f238b17e78e8033c3e8278833e452eb,4ffcf8f06f238b17e78e8033c3e8278833e452eb,JUnit4,OK,6179,135,29,
apache/ant-ivyde,test-smells-ant-ivyde,d7f55c6475627ad6a899e3fbb88eb49f572ba63b,d7f55c6475627ad6a899e3fbb88eb49f572ba63b,JUnit4,OK,23,3,25,
apache/apex-core,test-smells-apex-core,d17f464fcaf19778e2f8edbe2b03419151558068,d17f464fcaf19778e2f8edbe2b03419151558068,JUnit4,OK,2607,95,27,
apache/apex-malhar,test-smells-apex-malhar,1acaf15f425d72f19bb590c667987ed5d81d7f25,1acaf15f425d72f19bb590c667987ed5d81d7f25,JUnit4,OK,6386,564,30,
apache/archiva,test-smells-archiva,d1242030bf232c0d9b68e4402188ee261924bf4b,d1242030bf232c0d9b68e4402188ee261924bf4b,JUnit4,OK,2936,175,38,
apache/aries,test-smells-aries,52293d20268de7c98833846ded2b70d6476773de,52293d20268de7c98833846ded2b70d6476773de,JUnit4,OK,6721,329,32,
apache/aries-jax-rs-whiteboard,test-smells-aries-jax-rs-whiteboard,73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6,73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6,JUnit4,OK,607,12,23,
apache/aries-jpa,test-smells-aries-jpa,f8a04dfabbf0853af07926e4d8f8028b0d829bc8,f8a04dfabbf0853af07926e4d8f8028b0d829bc8,JUnit4,OK,75,21,21,
apache/aries-rsa,test-smells-aries-rsa,f5aa5ca62c3948d7e471c3a839089180650cf4f2,f5aa5ca62c3948d7e471c3a839089180650cf4f2,JUnit4,OK,629,51,22,
apache/asterixdb,test-smells-asterixdb,223d13a06c4a4a58408aeac19674ac1f36f5ff35,223d13a06c4a4a58408aeac19674ac1f36f5ff35,JUnit4,OK,3319,310,128,
apache/atlas,test-smells-apache-atlas,af1719a3472d1d436d0fc685fe9f88d8a754ef94,af1719a3472d1d436d0fc685fe9f88d8a754ef94,JUnit4,OK,2267,138,32,
apache/attic-polygene-java,test-smells-polygene-java,031beef870302a0bd01bd5895ce849e00f2d5d5b,031beef870302a0bd01bd5895ce849e00f2d5d5b,JUnit4,OK,1972,371,29,
apache/aurora,test-smells-aurora,6ec953f27f7f80366d6bf4c8e7cba0e62a874753,6ec953f27f7f80366d6bf4c8e7cba0e62a874753,JUnit4,OK,2458,196,28,
apache/avro,test-smells-avro,1119b6eb5b92730b27e9798793bc67f192591c15,1119b6eb5b92730b27e9798793bc67f192591c15,JUnit4,OK,2950,180,26,
apache/bahir-flink,test-smells-bahir-flink,45b6beb522ada24b644e11c470cb743551469ae1,,,TIMEOUT,,,3603,TimeoutError: bytestsmells: nao concluiu em 3600s (ultimo pct=25)
apache/beam,test-smells-beam,a956ff77a8448e5f2c12f6695fec608348b5ab60,a956ff77a8448e5f2c12f6695fec608348b5ab60,JUnit4,OK,17487,1035,80,
apache/bigtop,test-smells-bigtop,2cfcee08fc39a5f0b918ff2b895e1620344b390b,2cfcee08fc39a5f0b918ff2b895e1620344b390b,JUnit4,OK,486,61,36,
apache/bookkeeper,test-smells-bookkeeper,f26a4cae0e9205ad391c6d4d79f2937871864c28,f26a4cae0e9205ad391c6d4d79f2937871864c28,JUnit4,OK,11705,471,34,
apache/brooklyn-library,test-smells-brooklyn-library,89795c5d67d594259df9b4ea8bae766660e8b283,89795c5d67d594259df9b4ea8bae766660e8b283,JUnit4,OK,729,160,24,
apache/brooklyn-server,test-smells-brooklyn-server,880eb1da00f6358d7fd76d065322e3685bfb1a04,880eb1da00f6358d7fd76d065322e3685bfb1a04,JUnit4,OK,11364,828,34,
apache/bval,test-smells-bval,e6609f749af49ea2e554e8f65a5c1bf6d384ad90,e6609f749af49ea2e554e8f65a5c1bf6d384ad90,JUnit4,OK,563,46,22,
apache/calcite,test-smells-calcite,a648f9c12309cc253628930b0cab98591caa66ab,a648f9c12309cc253628930b0cab98591caa66ab,JUnit4,OK,5978,159,30,
apache/camel,test-smells-camel,8a85a70643c4d6eec2d3abddeea44ecb06c2f486,8a85a70643c4d6eec2d3abddeea44ecb06c2f486,JUnit5,OK,35621,8113,93,
apache/cassandra,test-smells-cassandra,e191aff385053bdb5325f15bc6d16d2dc0ee0589,e191aff385053bdb5325f15bc6d16d2dc0ee0589,JUnit4,OK,24134,597,64,
apache/cayenne,test-smells-cayenne,5be5235ed1c02589b6300e9729cf3c308c0173e8,5be5235ed1c02589b6300e9729cf3c308c0173e8,JUnit4,OK,7156,401,32,
apache/chemistry-opencmis,test-smells-chemistry-opencmis,ef8513d708e5e21710afe5cafb8b32a62a0ae532,ef8513d708e5e21710afe5cafb8b32a62a0ae532,JUnit4,OK,3217,75,26,
apache/chukwa,test-smells-chukwa,65f6972859115a4ddad6def06475465f0971e9ae,65f6972859115a4ddad6def06475465f0971e9ae,JUnit4,OK,928,90,37,
apache/clerezza,test-smells-clerezza,ab278b609cfe1fee9704abb563679ae952bcc47f,ab278b609cfe1fee9704abb563679ae952bcc47f,JUnit4,OK,533,24,22,
apache/cloudstack,test-smells-cloudstack,8d3feb100aab4a45b31a789f444038b892161eec,8d3feb100aab4a45b31a789f444038b892161eec,JUnit4,OK,5068,461,47,
apache/commons-beanutils,test-smells-commons-beanutils,33a067788f2a414c0b019f8d8974cc455c1982a4,33a067788f2a414c0b019f8d8974cc455c1982a4,JUnit4,OK,2345,87,23,
apache/commons-bsf,test-smells-commons-bsf,88b2601a3caecc32aba38f2b3980d646e9a1b698,88b2601a3caecc32aba38f2b3980d646e9a1b698,JUnit3,OK,72,4,25,
apache/commons-chain,test-smells-commons-chain,2e6b29c77be1908f70a1aa4830e885e856e72ebe,2e6b29c77be1908f70a1aa4830e885e856e72ebe,JUnit4,OK,647,27,22,
apache/commons-collections,test-smells-commons-collections,bb0781551c7f1d7ddd28733acff95e1f130e766c,bb0781551c7f1d7ddd28733acff95e1f130e766c,JUnit4,OK,6144,116,24,
apache/commons-compress,test-smells-commons-compress,1881a202fbec4466f3766eaa0057370d7007401b,1881a202fbec4466f3766eaa0057370d7007401b,JUnit4,OK,3633,138,32,
apache/commons-configuration,test-smells-commons-configuration,34357e075d63c3634310878636f9498847badcab,34357e075d63c3634310878636f9498847badcab,JUnit4,OK,3893,165,24,
apache/commons-crypto,test-smells-commons-crypto,7b7a36d603ad943ac033469b1e889946c947a385,7b7a36d603ad943ac033469b1e889946c947a385,JUnit4,OK,107,21,22,
apache/commons-dbcp,test-smells-commons-dbcp,d3afaa64f8d2ab6eb8f6eb08979bd9d265589352,d3afaa64f8d2ab6eb8f6eb08979bd9d265589352,JUnit4,OK,2624,46,23,
apache/commons-dbutils,test-smells-commons-dbutils,b4c8f2470a454807d8d8afbd9b16fb8bf44511d9,b4c8f2470a454807d8d8afbd9b16fb8bf44511d9,JUnit4,OK,190,25,21,
apache/commons-digester,test-smells-commons-digester,1a39dff24947b3fdd1027fb611f91b8cfe7d1d56,1a39dff24947b3fdd1027fb611f91b8cfe7d1d56,JUnit4,OK,807,55,22,
apache/commons-functor,test-smells-commons-functor,205fef6742c4e29748bb2d6e76c74fff0893f667,205fef6742c4e29748bb2d6e76c74fff0893f667,JUnit4,OK,2246,166,22,
apache/commons-imaging,test-smells-commons-imaging,fa7c16f434061d441d1c0d9dbcfd0f4c3092c880,fa7c16f434061d441d1c0d9dbcfd0f4c3092c880,JUnit4,OK,641,116,42,
apache/commons-io,test-smells-commons-io,19cd138d25fb461dc57125589a026ca0fa8f7805,19cd138d25fb461dc57125589a026ca0fa8f7805,JUnit4,OK,4779,104,24,
apache/commons-jcs,test-smells-commons-jcs,ad897014842fc830483f32fdfb903f3bb8f70289,ad897014842fc830483f32fdfb903f3bb8f70289,JUnit4,OK,859,131,23,
apache/commons-jelly,test-smells-commons-jelly,48c008cc2328402e0976295625b32c5197ba2324,48c008cc2328402e0976295625b32c5197ba2324,JUnit3,OK,287,70,23,
apache/commons-jexl,test-smells-commons-jexl,c39f4cf674000f45c23597fa945a0421aac79cbf,c39f4cf674000f45c23597fa945a0421aac79cbf,JUnit4,OK,1932,49,22,
apache/commons-jxpath,test-smells-commons-jxpath,eff47ab8ca52fdbc91d1313cc224324465dd043e,eff47ab8ca52fdbc91d1313cc224324465dd043e,JUnit3,OK,70,13,21,
apache/commons-math,test-smells-commons-math,f3719d89ab6a928e8618bbe6a7da8214d9d6eb07,f3719d89ab6a928e8618bbe6a7da8214d9d6eb07,JUnit4,OK,16180,404,32,
apache/commons-net,test-smells-commons-net,fb7aae4c64f7d2bf6dced00c49c3ffc428b2d572,fb7aae4c64f7d2bf6dced00c49c3ffc428b2d572,JUnit4,OK,859,34,22,
apache/commons-numbers,test-smells-commons-numbers,cfad08c08b18bec5cde044aa547e8c060e9bfac4,cfad08c08b18bec5cde044aa547e8c060e9bfac4,JUnit4,OK,2477,46,22,
apache/commons-ognl,test-smells-commons-ognl,0703126efc7962b9a442dce0af6af8731c7c34a6,0703126efc7962b9a442dce0af6af8731c7c34a6,JUnit4,OK,235,64,21,
apache/commons-pool,test-smells-commons-pool,cd9112f433bf9f4bc8829a15fc31d1af06740e4a,cd9112f433bf9f4bc8829a15fc31d1af06740e4a,JUnit4,OK,1948,23,22,
apache/commons-proxy,test-smells-commons-proxy,838024d7d8193d181506568fec9e681b6e11e59a,838024d7d8193d181506568fec9e681b6e11e59a,JUnit4,OK,276,27,21,
apache/commons-text,test-smells-commons-text,fba62805615082bc1ce02c46a6b1c8d0383aa09b,fba62805615082bc1ce02c46a6b1c8d0383aa09b,JUnit5,OK,5254,79,23,
apache/commons-validator,test-smells-commons-validator,a3771313c9f1833abf32c7c294ad1de4810e532d,a3771313c9f1833abf32c7c294ad1de4810e532d,JUnit4,OK,850,31,22,
apache/commons-vfs,test-smells-commons-vfs,fe61e3b164970d381cda1d89670420a2c32a9629,fe61e3b164970d381cda1d89670420a2c32a9629,JUnit4,OK,523,81,22,
apache/creadur-rat,test-smells-creadur-rat,271cb2fdf3d3dea168c09cab358d566db7549102,271cb2fdf3d3dea168c09cab358d566db7549102,JUnit4,OK,457,45,21,
apache/crunch,test-smells-crunch,9b8849cfd89f1e7f187b99914163509060692aa5,9b8849cfd89f1e7f187b99914163509060692aa5,JUnit4,OK,1000,100,24,
apache/curator,test-smells-curator,5ff795271b21c2b8f487a69efabac834fb714383,5ff795271b21c2b8f487a69efabac834fb714383,JUnit4,OK,2846,110,23,
apache/cxf,test-smells-cxf,6bf89e9c8804c8845ec4d38583dd33eea8256439,6bf89e9c8804c8845ec4d38583dd33eea8256439,JUnit4,OK,24001,1414,55,
apache/cxf-fediz,test-smells-cxf-fediz,553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd,553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd,JUnit4,OK,851,63,23,
apache/datafu,test-smells-datafu,3e52d11f75956ac3e6d2384816affeba565ab61d,3e52d11f75956ac3e6d2384816affeba565ab61d,JUnit4,OK,833,50,22,
apache/deltaspike,test-smells-deltaspike,6de805f9687178eca316b13e59ce717165f90a26,6de805f9687178eca316b13e59ce717165f90a26,JUnit4,OK,4432,292,26,
apache/derby,test-smells-derby,bd246fc89d4fce3f82f8344074ecb8a4713418df,bd246fc89d4fce3f82f8344074ecb8a4713418df,JUnit3,OK,14005,479,50,
apache/directory-fortress-commander,test-smells-directory-fortress-commander,73aadbad04fc9ec8b14faa2191c4c9545f3396a4,73aadbad04fc9ec8b14faa2191c4c9545f3396a4,JUnit4,OK,0,0,21,
apache/directory-fortress-core,test-smells-directory-fortress-core,180e1f017d9077756eebe02cb852e86a39f84f99,180e1f017d9077756eebe02cb852e86a39f84f99,JUnit4,OK,103,20,23,
apache/directory-kerby,test-smells-directory-kerby,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,JUnit4,OK,792,125,26,
apache/directory-ldap-api,test-smells-directory-ldap-api,5b93e102556ad2191b5d30411708410d1b1a9d71,5b93e102556ad2191b5d30411708410d1b1a9d71,JUnit4,OK,18072,341,34,
apache/directory-server,test-smells-directory-server,310007cc1c7eb5415f93bed67d5553bc70980820,310007cc1c7eb5415f93bed67d5553bc70980820,JUnit4,OK,10427,241,34,
apache/directory-studio,test-smells-directory-studio,e8f15ea553a3ae7bebc2fe96d6a2864e188f8017,e8f15ea553a3ae7bebc2fe96d6a2864e188f8017,JUnit4,OK,3308,54,39,
apache/drill,test-smells-drill,5e2251a9fd659b81ebfcd6702ee4ee16b3f7b6b3,5e2251a9fd659b81ebfcd6702ee4ee16b3f7b6b3,JUnit4,OK,12722,571,41,
apache/eagle,test-smells-eagle,7ac9421c2c27d12ae88f001866b4444310fcaa3f,7ac9421c2c27d12ae88f001866b4444310fcaa3f,JUnit4,OK,4443,330,34,
apache/empire-db,test-smells-empire-db,933dce5536fe157cd6b5e924a2c623acfb6cb083,933dce5536fe157cd6b5e924a2c623acfb6cb083,JUnit4,OK,515,26,24,
apache/falcon,test-smells-falcon,470e5e9f5de9ba1b6149dec60e87d3a04270eda3,470e5e9f5de9ba1b6149dec60e87d3a04270eda3,JUnit3,OK,4073,215,29,
apache/fineract,test-smells-fineract,210e380df3ca5c74c8c2fa09e7fe1cffdb87e20a,210e380df3ca5c74c8c2fa09e7fe1cffdb87e20a,JUnit4,OK,1619,81,31,
apache/fineract-cn-customer,test-smells-fineract-cn-customer,251ae08f7607a4feab8a4e5ba09c105b5f35c3be,251ae08f7607a4feab8a4e5ba09c105b5f35c3be,JUnit4,OK,189,10,22,
apache/fineract-cn-portfolio,test-smells-fineract-cn-portfolio,f0eaa1850586b783351b4fbe9003ddbd9007245a,f0eaa1850586b783351b4fbe9003ddbd9007245a,JUnit4,OK,300,52,22,
apache/flink,test-smells-flink,8068c8775ad067d75828e6360e7e0994348da9b9,8068c8775ad067d75828e6360e7e0994348da9b9,JUnit4,OK,39496,1391,85,
apache/flume,test-smells-logging-flume,7d3396f26dc1541e9d2a540d50d15a15c38acb74,7d3396f26dc1541e9d2a540d50d15a15c38acb74,JUnit4,OK,4973,214,27,
apache/fluo,test-smells-accumulo-fluo,8e06204d4167651e2d3b5219b8c1397644e6ba6e,8e06204d4167651e2d3b5219b8c1397644e6ba6e,JUnit4,OK,1242,35,22,
apache/freemarker,test-smells-freemarker,02fa5edb3cde53f284551c09ecc13301b0e83d0b,02fa5edb3cde53f284551c09ecc13301b0e83d0b,JUnit4,OK,4683,129,25,
apache/geode,test-smells-geode,8fd839e8b73e40bd2dfd14f331b587431bd35a66,8fd839e8b73e40bd2dfd14f331b587431bd35a66,JUnit4,OK,44357,2533,76,
apache/giraph,test-smells-giraph,d3bf4a2cf5347f7cfd9d217b216c906cb7801217,d3bf4a2cf5347f7cfd9d217b216c906cb7801217,JUnit4,OK,1977,141,24,
apache/gora,test-smells-gora,e325402aaa84d4f1501eb00c2c3f5c15e32713ca,e325402aaa84d4f1501eb00c2c3f5c15e32713ca,JUnit4,OK,580,54,24,
apache/griffin,test-smells-griffin,1cf2a15452a9998da4ede6d61fe8a7138dd65341,1cf2a15452a9998da4ede6d61fe8a7138dd65341,JUnit4,OK,109,30,24,
apache/groovy,test-smells-groovy,00ee0547c00673a93e0843a9d72c8e4293d1efdb,00ee0547c00673a93e0843a9d72c8e4293d1efdb,JUnit5,OK,725,60,29,
apache/hadoop,test-smells-hadoop,128dd91e10080bdcbcd7d555fa3c4105e55a6b51,128dd91e10080bdcbcd7d555fa3c4105e55a6b51,JUnit5,OK,79015,2915,125,
apache/hadoop-common,test-smells-hadoop-common,42a61a4fbc88303913c4681f0d40ffcc737e70b5,42a61a4fbc88303913c4681f0d40ffcc737e70b5,JUnit4,OK,34234,1544,63,
apache/hadoop-mapreduce,test-smells-hadoop-mapreduce,307cb5b316e10defdbbc228d8cdcdb627191ea15,307cb5b316e10defdbbc228d8cdcdb627191ea15,JUnit4,OK,5076,339,31,
apache/hama,test-smells-hama,734a4d7337cbd132623c7dcb84c300de428d13bf,734a4d7337cbd132623c7dcb84c300de428d13bf,JUnit4,OK,614,60,24,
apache/hbase,test-smells-hbase,44f8abd5c65c59e9d09f6ad14b3c825f145d8e4f,44f8abd5c65c59e9d09f6ad14b3c825f145d8e4f,JUnit4,OK,30230,1373,53,
apache/helix,test-smells-helix,0431ef007610093a5b8cde38649be8bfc056df43,0431ef007610093a5b8cde38649be8bfc056df43,JUnit4,OK,5247,325,28,
apache/hive,test-smells-hive,2fa22bf360898dc8fd1408bfcc96e1c6aeaf9a53,2fa22bf360898dc8fd1408bfcc96e1c6aeaf9a53,JUnit5,OK,32867,1020,112,
apache/httpcomponents-client,test-smells-httpcomponents-client,35a2ff2671a513d640e1e85319270c7c868938c6,35a2ff2671a513d640e1e85319270c7c868938c6,JUnit4,OK,3624,150,26,
apache/httpcomponents-core,test-smells-httpcomponents-core,589fe21a0bd3481431f08d296fff1e323a8f497d,589fe21a0bd3481431f08d296fff1e323a8f497d,JUnit4,OK,6521,142,28,
apache/ignite,test-smells-ignite,7a7c407ea41477aae8508bfe871b4e9a67e1b277,7a7c407ea41477aae8508bfe871b4e9a67e1b277,JUnit4,OK,33585,2366,90,
apache/incubator-ambari,test-smells-incubator-ambari,bf747346312170834c6beb89a60c8624b47aa288,bf747346312170834c6beb89a60c8624b47aa288,JUnit4,OK,6026,211,33,
apache/incubator-atlas,test-smells-incubator-atlas,e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b,e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b,JUnit3,OK,3225,160,26,
apache/incubator-batchee,test-smells-incubator-batchee,d4ad6b76d3013a7eb74fbe062aeac305215d6a36,d4ad6b76d3013a7eb74fbe062aeac305215d6a36,JUnit4,OK,425,86,22,
