github_repo,production_path,estratos,n_amostras,cs_blob,cs_blob_any,cs_blob_any_major,cs_blob_maioria,cs_blob_sev_media,cs_blob_unanime,cs_blob_sev_max,cs_blob_n_reviews,cs_data_class,cs_data_class_any,cs_data_class_any_major,cs_data_class_maioria,cs_data_class_sev_media,cs_data_class_unanime,cs_data_class_sev_max,cs_data_class_n_reviews,cs_feature_envy,cs_feature_envy_any,cs_feature_envy_any_major,cs_feature_envy_maioria,cs_feature_envy_sev_media,cs_feature_envy_unanime,cs_feature_envy_sev_max,cs_feature_envy_n_reviews,cs_long_method,cs_long_method_any,cs_long_method_any_major,cs_long_method_maioria,cs_long_method_sev_media,cs_long_method_unanime,cs_long_method_sev_max,cs_long_method_n_reviews,n_testes,n_testes_nome_divergente,test_paths,loc_teste,n_metodos_teste,ts_assertion_roulette,ts_conditional_test_logic,ts_dependent_test,ts_duplicate_assert,ts_eager_test,ts_exception_catching_throwing,ts_general_fixture,ts_lazy_test,ts_magic_number_test,ts_mystery_guest,ts_redundant_assertion,ts_resource_optimism,ts_verbose_test,ts_n_distintos,ts_n_total
test-smells-SapMachine,/src/java.base/share/classes/java/util/LinkedList.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,1,0,/test/jdk/java/util/concurrent/tck/LinkedListTest.java,695,49,67,36,0,7,0,12,0,0,8,0,0,0,0,5,130
test-smells-SapMachine,/src/java.base/share/classes/java/util/concurrent/ConcurrentHashMap.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,1,1,/test/jdk/java/util/concurrent/tck/ConcurrentHashMapTest.java,884,2,65,24,0,5,0,23,0,0,15,0,0,0,0,5,132
test-smells-SapMachine,/src/java.base/share/classes/java/util/concurrent/Exchanger.java,negativo_confiavel,1,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,/test/jdk/java/util/concurrent/tck/ExchangerTest.java,180,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test-smells-SapMachine,/src/java.base/share/classes/java/util/concurrent/Executors.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,1,1,/test/jdk/java/util/concurrent/tck/ExecutorsTest.java,668,1,15,7,0,0,0,22,0,0,0,0,0,0,2,4,46
test-smells-SapMachine,/src/java.net.http/share/classes/jdk/internal/net/http/WindowController.java,positivo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.8333,1,1,1,0.8333,0,2,6,1,0,/test/jdk/java/net/httpclient/whitebox/java.net.http/jdk/internal/net/http/WindowControllerTest.java,147,5,53,0,0,12,0,0,0,0,42,0,0,0,1,4,108
test-smells-SapMachine,/src/java.sql/share/classes/java/sql/SQLInvalidAuthorizationSpecException.java,negativo_confiavel,1,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,/test/jdk/java/sql/testng/test/sql/SQLInvalidAuthorizationSpecExceptionTests.java,239,14,1,3,0,0,0,0,0,0,7,0,0,0,0,3,11
test-smells-SapMachine,/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Resolve.java,negativo_confiavel,1,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,1,0,/test/langtools/tools/javac/modules/ResolveTest.java,219,9,0,6,0,0,0,0,0,0,0,0,0,0,0,1,6
test-smells-SapMachine,/src/jdk.jconsole/share/classes/sun/tools/jconsole/Resources.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,2,0,/test/jdk/java/lang/Class/getResource/ResourcesTest.java|/test/jdk/java/lang/ClassLoader/getResource/modules/ResourcesTest.java,188,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test-smells-Wilma,/wilma-application/modules/wilma-core/src/main/java/com/epam/wilma/core/processor/entity/Base64DecoderProcessor.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,1,0,/wilma-application/modules/wilma-core/src/test/java/com/epam/wilma/core/processor/entity/Base64DecoderProcessorTest.java,106,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
test-smells-Wilma,/wilma-service-api/src/main/java/com/epam/wilma/service/configuration/StubConfiguration.java,disputado,1,,,,,,,,,0.5,1,1,0,0.5,0,2,6,,,,,,,,,,,,,,,,,1,0,/wilma-service-api/src/test/java/com/epam/wilma/service/configuration/StubConfigurationTest.java,262,32,6,0,0,0,0,0,0,2,2,0,0,0,0,3,10
test-smells-accumulo,/core/src/main/java/org/apache/accumulo/core/data/Key.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,1,0,/core/src/test/java/org/apache/accumulo/core/data/KeyTest.java,214,9,32,1,0,1,4,0,0,1,2,0,0,0,2,7,43
test-smells-accumulo,/core/src/main/java/org/apache/accumulo/core/security/VisibilityEvaluator.java,negativo_confiavel,1,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,/core/src/test/java/org/apache/accumulo/core/security/VisibilityEvaluatorTest.java,172,6,14,5,0,2,2,6,0,2,0,0,0,0,1,7,32
test-smells-accumulo,/server/base/src/main/java/org/apache/accumulo/server/client/BulkImporter.java,disputado,1,0.1667,1,0,0,0.1667,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,1,1,/server/base/src/test/java/org/apache/accumulo/server/client/BulkImporterTest.java,195,8,13,0,0,1,0,0,0,0,3,0,0,0,1,4,18
test-smells-accumulo,/server/base/src/main/java/org/apache/accumulo/server/util/Admin.java,negativo_confiavel,1,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,/server/base/src/test/java/org/apache/accumulo/server/util/AdminTest.java,91,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test-smells-accumulo,/server/tserver/src/main/java/org/apache/accumulo/tserver/InMemoryMap.java,negativo_confiavel,2,0.0,0,0,0,0.0,0,0,2,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,1,1,/server/tserver/src/test/java/org/apache/accumulo/tserver/InMemoryMapTest.java,950,5,40,12,8,14,0,1,0,0,4,0,0,0,5,7,84
test-smells-accumulo,/server/tserver/src/main/java/org/apache/accumulo/tserver/replication/BatchWriterReplicationReplayer.java,disputado,1,0.375,1,1,0,0.375,0,2,8,,,,,,,,,,,,,,,,,,,,,,,,,1,0,/server/tserver/src/test/java/org/apache/accumulo/tserver/replication/BatchWriterReplicationReplayerTest.java,201,7,0,0,0,0,0,0,0,1,0,0,0,0,2,2,3
test-smells-activemq,/activemq-broker/src/main/java/org/apache/activemq/broker/region/TopicSubscription.java,disputado,1,0.6,1,1,0,0.6,0,3,10,,,,,,,,,,,,,,,,,,,,,,,,,1,0,/activemq-unit-tests/src/test/java/org/apache/activemq/broker/TopicSubscriptionTest.java,160,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test-smells-activemq,/activemq-client/src/main/java/org/apache/activemq/ActiveMQConnectionFactory.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,1,0,/activemq-ra/src/test/java/org/apache/activemq/ra/ActiveMQConnectionFactoryTest.java,119,9,0,0,0,0,0,0,2,0,5,0,0,0,0,2,7
test-smells-activemq,/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/MessageDatabase.java,disputado,1,,,,,,,,,0.5,1,1,0,0.5,0,2,8,,,,,,,,,,,,,,,,,1,0,/activemq-kahadb-store/src/test/java/org/apache/activemq/store/kahadb/MessageDatabaseTest.java,117,3,0,0,0,0,2,2,0,4,1,2,0,2,2,7,15
test-smells-activemq,/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/disk/util/SequenceSet.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,1,0,/activemq-kahadb-store/src/test/java/org/apache/activemq/store/kahadb/disk/util/SequenceSetTest.java,192,10,35,5,0,3,8,0,0,5,36,0,0,0,1,7,93
test-smells-admiral,/adapter/kubernetes/src/main/java/com/vmware/admiral/adapter/pks/service/PKSClusterListService.java,negativo_confiavel,1,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,/adapter/kubernetes/src/test/java/com/vmware/admiral/adapter/pks/service/PKSClusterListServiceTest.java,143,7,5,0,0,0,0,0,1,0,3,0,0,0,0,3,9
test-smells-admiral,/common/src/main/java/com/vmware/admiral/common/util/CertificateCleanupUtil.java,negativo_confiavel,1,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,1,0,/common/src/test/java/com/vmware/admiral/common/util/CertificateCleanupUtilTest.java,216,19,6,0,0,1,0,0,3,0,11,0,0,0,0,4,21
test-smells-admiral,/common/src/main/java/com/vmware/admiral/common/util/DockerImage.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,1,0,/common/src/test/java/com/vmware/admiral/common/util/DockerImageTest.java,137,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
test-smells-admiral,/compute/src/main/java/com/vmware/admiral/compute/ContainerHostUtil.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,1,0,/compute/src/test/java/com/vmware/admiral/compute/ContainerHostUtilTest.java,151,7,16,0,0,1,0,0,0,0,0,0,0,0,0,2,17
test-smells-admiral,/compute/src/main/java/com/vmware/admiral/compute/container/volume/VolumeUtil.java,negativo_confiavel,1,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,/request/src/test/java/com/vmware/admiral/request/VolumeUtilTest.java,216,13,5,0,1,0,0,2,0,3,1,0,0,0,0,5,12
test-smells-admiral,/request/src/main/java/com/vmware/admiral/request/notification/NotificationsService.java,disputado,1,,,,,,,,,1.125,1,1,0,1.125,0,3,8,,,,,,,,,,,,,,,,,1,0,/request/src/test/java/com/vmware/admiral/request/notifications/NotificationsServiceTest.java,195,10,24,0,0,7,0,0,0,0,18,0,0,0,0,3,49
test-smells-airavata,/modules/sharing-registry/sharing-registry-stubs/src/main/java/org/apache/airavata/sharing/registry/service/cpi/SharingRegistryService.java,disputado|negativo_confiavel,4,0.0,0,0,0,0.0,0,0,2,,,,,,,,,0.1667,1,0,0,0.1667,0,1,6,0.0,0,0,0,0.0,0,0,4,1,0,/modules/sharing-registry/sharing-registry-server/src/test/java/org/apache/airavata/sharing/registry/SharingRegistryServiceTest.java,360,4,25,0,0,2,1,0,0,0,6,0,0,0,1,5,35
test-smells-alexa-skills-kit-sdk-for-java,/ask-sdk-runtime/src/com/amazon/ask/request/mapper/impl/BaseRequestMapper.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,1,0,/ask-sdk-runtime/tst/com/amazon/ask/request/mapper/BaseRequestMapperTest.java,88,5,2,0,0,0,4,0,0,4,0,0,0,0,0,3,10
test-smells-alibaba-druid,/src/main/java/com/alibaba/druid/pool/DruidDataSource.java,positivo_confiavel,1,1.25,1,1,1,1.25,0,3,8,,,,,,,,,,,,,,,,,,,,,,,,,3,0,/druid-spring-boot-starter/src/test/java/com/alibaba/druid/spring/boot/testcase/DruidDataSourceTestCase.java|/src/test/java/com/alibaba/druid/bvt/pool/DruidDataSourceTest.java|/src/test/java/com/alibaba/druid/bvt/pool/TestDruidDataSource.java,204,11,40,0,0,7,2,1,0,0,24,0,0,0,1,11,75
test-smells-alibaba-druid,/src/main/java/com/alibaba/druid/pool/DruidPooledCallableStatement.java,negativo_confiavel|positivo_confiavel,2,,,,,,,,,1.8333,1,1,1,1.8333,0,3,6,,,,,,,,,0.0,0,0,0,0.0,0,0,2,1,0,/src/test/java/com/alibaba/druid/bvt/pool/DruidPooledCallableStatementTest.java,171,11,13,0,0,2,2,3,0,5,11,0,0,0,0,6,36
test-smells-alibaba-druid,/src/main/java/com/alibaba/druid/pool/DruidPooledConnection.java,disputado,1,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,0,0,0.5,0,1,4,1,0,/src/test/java/com/alibaba/druid/bvt/pool/DruidPooledConnectionTest.java,86,9,6,0,0,2,6,0,0,4,5,0,0,0,0,5,23
test-smells-alibaba-druid,/src/main/java/com/alibaba/druid/pool/ha/selector/RandomDataSourceSelector.java,negativo_confiavel,1,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,/src/test/java/com/alibaba/druid/pool/ha/selector/RandomDataSourceSelectorTest.java,55,6,0,2,0,0,1,0,2,0,1,0,0,0,0,4,6
test-smells-alibaba-druid,/src/main/java/com/alibaba/druid/sql/dialect/mysql/visitor/MySqlASTVisitorAdapter.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,1,0,/src/test/java/com/alibaba/druid/bvt/sql/mysql/MySqlASTVisitorAdapterTest.java,174,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
test-smells-alibaba-druid,/src/main/java/com/alibaba/druid/sql/dialect/oracle/visitor/OracleASTVisitorAdapter.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,1,0,/src/test/java/com/alibaba/druid/bvt/sql/oracle/visitor/OracleASTVisitorAdapterTest.java,187,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
test-smells-ambari,/ambari-server/src/main/java/org/apache/ambari/server/agent/stomp/AgentDataHolder.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,1,0,/ambari-server/src/test/java/org/apache/ambari/server/agent/stomp/AgentDataHolderTest.java,105,2,4,0,0,0,0,0,0,1,0,0,0,0,1,3,6
test-smells-ambari,/ambari-server/src/main/java/org/apache/ambari/server/api/query/ExtendedResourcePredicateVisitor.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,1,0,/ambari-server/src/test/java/org/apache/ambari/server/api/query/ExtendedResourcePredicateVisitorTest.java,179,1,13,0,0,4,1,0,0,0,0,0,0,0,1,4,19
test-smells-ambari,/ambari-server/src/main/java/org/apache/ambari/server/api/services/StacksService.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,1,1,/ambari-server/src/test/java/org/apache/ambari/server/api/services/StacksServiceTest.java,204,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test-smells-ambari,/ambari-server/src/main/java/org/apache/ambari/server/api/services/stackadvisor/commands/StackAdvisorCommand.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,1,0,/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/commands/StackAdvisorCommandTest.java,468,24,14,0,0,0,4,0,0,12,2,9,3,9,1,8,54
test-smells-ambari,/ambari-server/src/main/java/org/apache/ambari/server/audit/request/eventcreator/HostEventCreator.java,negativo_confiavel,1,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,/ambari-server/src/test/java/org/apache/ambari/server/audit/request/creator/HostEventCreatorTest.java,109,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3
test-smells-ambari,/ambari-server/src/main/java/org/apache/ambari/server/controller/AmbariManagementControllerImpl.java,positivo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.8333,1,1,1,0.8333,0,2,6,1,0,/ambari-server/src/test/java/org/apache/ambari/server/controller/AmbariManagementControllerImplTest.java,2556,59,42,0,7,1,29,11,0,18,13,0,0,0,32,8,153
test-smells-ambari,/ambari-server/src/main/java/org/apache/ambari/server/controller/ServiceConfigVersionResponse.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,1,0,/ambari-server/src/test/java/org/apache/ambari/server/controller/ServiceConfigVersionResponseTest.java,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test-smells-ambari,/ambari-server/src/main/java/org/apache/ambari/server/view/RemoteAmbariCluster.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,1,0,/ambari-server/src/test/java/org/apache/ambari/server/view/RemoteAmbariClusterTest.java,132,3,7,0,0,3,2,0,0,1,7,0,0,0,2,6,22
test-smells-ambry,/ambry-network/src/main/java/com.github.ambry.network/SocketServer.java,disputado,1,,,,,,,,,,,,,,,,,0.6667,1,1,0,0.6667,0,2,6,,,,,,,,,1,0,/ambry-network/src/test/java/com.github.ambry.network/SocketServerTest.java,147,13,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2
test-smells-ant,/src/main/org/apache/tools/ant/taskdefs/Tar.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,1,0,/src/tests/junit/org/apache/tools/ant/taskdefs/TarTest.java,189,23,0,0,8,0,0,0,0,0,0,6,0,1,0,3,15
test-smells-ant-ivy,/src/java/org/apache/ivy/core/settings/IvySettings.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,1,0,/test/java/org/apache/ivy/core/settings/IvySettingsTest.java,109,2,16,0,0,4,2,0,0,0,0,0,0,0,1,4,23
test-smells-ant-ivy,/src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorWriter.java,disputado,1,,,,,,,,,,,,,,,,,0.5,1,1,0,0.5,0,2,8,,,,,,,,,1,0,/test/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorWriterTest.java,265,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test-smells-apex-core,/engine/src/main/java/com/datatorrent/stram/engine/AbstractReservoir.java,negativo_confiavel,1,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,/engine/src/test/java/com/datatorrent/stram/engine/AbstractReservoirTest.java,473,19,30,1,0,2,4,0,0,8,15,0,0,0,0,6,60
test-smells-apex-core,/engine/src/main/java/com/datatorrent/stram/plan/logical/LogicalPlanConfiguration.java,positivo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,1,0,1,0.6667,0,1,6,1,1,/engine/src/test/java/com/datatorrent/stram/plan/logical/LogicalPlanConfigurationTest.java,1739,1,9,20,9,2,0,3,0,0,30,0,0,0,9,7,82
test-smells-apex-malhar,/apps/logstream/src/main/java/com/datatorrent/apps/logstream/PropertyRegistry/LogstreamPropertyRegistry.java,negativo_confiavel,1,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,1,0,/apps/logstream/src/test/java/com/datatorrent/apps/logstream/PropertyRegistry/LogstreamPropertyRegistryTest.java,54,1,0,0,0,0,1,0,0,0,4,0,0,0,0,2,5
test-smells-apex-malhar,/contrib/src/main/java/org/apache/apex/malhar/contrib/kinesis/ShardManager.java,negativo_confiavel,1,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,1,1,/contrib/src/test/java/org/apache/apex/malhar/contrib/kinesis/ShardManagerTest.java,314,3,0,0,1,0,0,1,0,0,1,0,0,0,2,4,5
test-smells-apex-malhar,/library/src/main/java/org/apache/apex/malhar/lib/math/Min.java,negativo_confiavel,1,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,2,0,/library/src/test/java/org/apache/apex/malhar/lib/math/MinTest.java|/library/src/test/java/org/apache/apex/malhar/lib/window/accumulation/MinTest.java,132,2,5,0,0,0,1,0,0,0,8,0,0,0,1,5,15
test-smells-apex-malhar,/library/src/main/java/org/apache/apex/malhar/lib/util/FilterOperator.java,negativo_confiavel,1,,,,,,,,,0.0,0,0,0,0.0,0,0,2,,,,,,,,,,,,,,,,,1,0,/apps/logstream/src/test/java/com/datatorrent/apps/logstream/FilterOperatorTest.java,95,1,0,1,0,0,1,0,0,0,1,0,0,0,1,4,4
test-smells-aries,/cdi/cdi-extender/src/main/java/org/apache/aries/cdi/container/internal/container/ConfigurationListener.java,disputado,1,0.5,1,1,0,0.5,0,3,6,,,,,,,,,,,,,,,,,,,,,,,,,1,0,/cdi/cdi-extender/src/test/java/org/apache/aries/cdi/container/internal/phase/ConfigurationListenerTest.java,150,1,11,1,0,2,1,0,0,0,1,0,0,0,1,6,17
test-smells-aries,/spi-fly/spi-fly-static-tool/src/main/java/org/apache/aries/spifly/statictool/Main.java,positivo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1,1,1,1.5,0,2,8,1,0,/spi-fly/spi-fly-static-tool/src/test/java/org/apache/aries/spifly/statictool/MainTest.java,120,5,1,0,0,0,0,1,0,2,0,2,0,2,1,6,9
test-smells-aries,/subsystem/subsystem-core/src/main/java/org/apache/aries/subsystem/core/internal/ResolveContext.java,disputado,1,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,0,0,0.5,0,1,6,1,0,/subsystem/subsystem-core/src/test/java/org/apache/aries/subsystem/core/internal/ResolveContextTest.java,99,4,1,0,0,0,1,1,0,0,2,1,0,1,1,7,8
test-smells-aries,/subsystem/subsystem-obr/src/main/java/org/apache/aries/subsystem/util/felix/OsgiRequirementAdapter.java,disputado,1,,,,,,,,,0.3333,1,1,0,0.3333,0,2,6,,,,,,,,,,,,,,,,,1,0,/subsystem/subsystem-obr/src/test/java/org/apache/aries/subsystem/obr/internal/OsgiRequirementAdapterTest.java,81,5,0,0,0,0,5,0,0,3,0,0,0,0,0,2,8
test-smells-aries-rsa,/discovery/local/src/main/java/org/apache/aries/rsa/discovery/endpoint/PropertiesMapper.java,positivo_confiavel,1,,,,,,,,,,,,,,,,,,,,,,,,,0.8333,1,1,1,0.8333,0,2,6,1,0,/discovery/local/src/test/java/org/apache/aries/rsa/discovery/endpoint/PropertiesMapperTest.java,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test-smells-artemis,/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/collections/UpdatableIterator.java,disputado,1,,,,,,,,,,,,,,,,,0.1667,1,0,0,0.1667,0,1,6,,,,,,,,,1,0,/artemis-commons/src/test/java/org/apache/activemq/artemis/utils/collections/UpdatableIteratorTest.java,95,2,12,8,0,6,2,0,0,4,0,0,0,0,1,6,33
