sample_id,smell,granularidade,code_name,path,start_line,end_line,mlcq_repo,github_repo,repo_status,commit_hash,is_industry_relevant,n_reviews,n_revisores,severidades,n_positivos,n_major_ou_mais,n_reviews_crosscheck,sev_max,sev_media,sev_mediana,pos_any,pos_maioria,pos_unanime,pos_any_major,foi_crosscheck,estrato
3701417,long method,function,com.taobao.tddl.dbsync.binlog.LogBuffer#getUlong56,/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/LogBuffer.java,791,800,alibaba/canal,test-smell-canal,HASH_OK,08167c95c767fd3c9879584c0230820a8476a7a7,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3701614,feature envy,function,com.alibaba.otter.canal.protocol.CanalEntry.Entry.Builder#mergeFrom com.google.protobuf.Message,/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java,956,963,alibaba/canal,test-smell-canal,HASH_OK,08167c95c767fd3c9879584c0230820a8476a7a7,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3702984,blob,class,com.alibaba.otter.canal.client.adapter.hbase.support.PhTypeUtil,/client-adapter/hbase/src/main/java/com/alibaba/otter/canal/client/adapter/hbase/support/PhTypeUtil.java,21,609,alibaba/canal,test-smell-canal,HASH_OK,08167c95c767fd3c9879584c0230820a8476a7a7,1,6,3,critical|minor|minor|none|none|none,3,1,4,3,0.8333,0.5,1,0,0,1,1,disputado
3703084,long method,function,com.alibaba.otter.canal.protocol.CanalEntry.Header.parseFrom byte[]|com.google.protobuf.ExtensionRegistryLite,/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java,2389,2394,alibaba/canal,test-smell-canal,HASH_OK,08167c95c767fd3c9879584c0230820a8476a7a7,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3705164,data class,class,com.alibaba.otter.canal.protocol.ClientIdentity,/protocol/src/main/java/com/alibaba/otter/canal/protocol/ClientIdentity.java,14,105,alibaba/canal,test-smell-canal,HASH_OK,08167c95c767fd3c9879584c0230820a8476a7a7,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3709545,long method,function,com.android.aapt.Resources.Source.parseFrom com.google.protobuf.CodedInputStream|com.google.protobuf.ExtensionRegistryLite,/atlas-gradle-plugin/atlas-plugin/src/main/java/com/android/aapt/Resources.java,1339,1345,alibaba/atlas,test-smells-atlas,HASH_OK,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3710201,blob,class,com.taobao.android.dex.Leb128,/atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dex/Leb128.java,26,161,alibaba/atlas,test-smells-atlas,HASH_OK,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3711605,blob,class,MavenWrapperDownloader,/.mvn/wrapper/MavenWrapperDownloader.java,25,110,alibaba/java-dns-cache-manipulator,,SEM_REPO,eab50ee5c27671f9159b55458301f9429b2fcc47,1,4,2,minor|minor|none|none,2,0,2,1,0.5,0.5,1,0,0,0,1,disputado
3715636,data class,class,com.taobao.android.builder.tools.bundleinfo.model.BasicBundleInfo,/atlas-gradle-plugin/atlas-plugin/src/main/java/com/taobao/android/builder/tools/bundleinfo/model/BasicBundleInfo.java,220,365,alibaba/atlas,test-smells-atlas,HASH_OK,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,1,4,2,critical|critical|none|none,2,2,2,3,1.5,1.5,1,0,0,1,1,disputado
3717506,blob,class,org.osgi.framework.BundleListener,/atlas-core/src/main/java/org/osgi/framework/BundleListener.java,24,32,alibaba/atlas,test-smells-atlas,HASH_OK,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3717549,long method,function,com.taobao.android.dx.merge.IndexMap#adjustAnnotationDirectory int,/atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/merge/IndexMap.java,160,162,alibaba/atlas,test-smells-atlas,HASH_OK,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3717906,long method,function,android.taobao.atlas.framework.bundlestorage.BundleArchiveRevision.BundleArchiveRevision String|File|File,/atlas-core/src/main/java/android/taobao/atlas/framework/bundlestorage/BundleArchiveRevision.java,301,332,alibaba/atlas,test-smells-atlas,HASH_OK,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,1,4,2,minor|minor|none|none,2,0,2,1,0.5,0.5,1,0,0,0,1,disputado
3719020,long method,function,com.taobao.android.dx.command.dexer.Main.ClassDefItemConsumer.ClassDefItemConsumer String|Future<ClassDefItem>|int|int,/atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/command/dexer/Main.java,1879,1885,alibaba/atlas,test-smells-atlas,HASH_OK,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3721456,blob,class,com.android.tools.r8.dex.AtlasVirtualFile.PackageMapDistributor,/atlas-gradle-plugin/atlas-plugin/src/main/java/com/android/tools/r8/dex/AtlasVirtualFile.java,721,795,alibaba/atlas,test-smells-atlas,HASH_OK,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3722097,feature envy,function,android.taobao.atlas.runtime.newcomponent.IntentResolver#register_mime_types F|String,/atlas-core/src/main/java/android/taobao/atlas/runtime/newcomponent/IntentResolver.java,461,489,alibaba/atlas,test-smells-atlas,HASH_OK,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3722557,long method,function,com.android.aapt.Resources.Item.Builder#setPrim com.android.aapt.Resources.Primitive,/atlas-gradle-plugin/atlas-plugin/src/main/java/com/android/aapt/Resources.java,8680,8684,alibaba/atlas,test-smells-atlas,HASH_OK,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3723043,data class,class,com.taobao.android.builder.extension.MultiDexConfig,/atlas-gradle-plugin/atlas-plugin/src/main/java/com/taobao/android/builder/extension/MultiDexConfig.java,220,302,alibaba/atlas,test-smells-atlas,HASH_OK,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,1,6,3,critical|critical|major|minor|none|none,4,3,4,3,1.5,1.5,1,1,0,1,1,positivo_confiavel
3724040,long method,function,com.alibaba.jvm.sandbox.core.util.SandboxStringUtils.getCauseMessage Throwable,/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/util/SandboxStringUtils.java,65,70,alibaba/jvm-sandbox,test-smells-jvm-sandbox,HASH_OK,5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3725026,feature envy,function,com.alibaba.jvm.sandbox.core.enhance.weaver.SingleEventFactory#makeImmediatelyThrowsEvent int|int|Throwable,/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/enhance/weaver/SingleEventFactory.java,130,140,alibaba/jvm-sandbox,test-smells-jvm-sandbox,HASH_OK,5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e,1,7,4,minor|none|none|none|none|none|none,1,0,5,1,0.1429,0.0,1,0,0,0,1,disputado
3725378,long method,function,com.alibaba.jvm.sandbox.core.util.matcher.structure.ClassStructureImplByAsm#initialValue,/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/util/matcher/structure/ClassStructureImplByAsm.java,397,415,alibaba/jvm-sandbox,test-smells-jvm-sandbox,HASH_OK,5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3725605,blob,class,com.alibaba.jvm.sandbox.core.util.matcher.structure.ClassStructureImplByJDK,/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/util/matcher/structure/ClassStructureImplByJDK.java,109,252,alibaba/jvm-sandbox,test-smells-jvm-sandbox,HASH_OK,5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e,1,4,2,minor|minor|none|none,2,0,2,1,0.5,0.5,1,0,0,0,1,disputado
3727271,data class,class,com.alibaba.druid.pool.DruidPooledCallableStatement,/src/main/java/com/alibaba/druid/pool/DruidPooledCallableStatement.java,40,1089,alibaba/druid,test-smells-alibaba-druid,HASH_OK,768469fe4d1340efe1036453366a58c9ab7e30d1,1,6,3,critical|critical|critical|major|none|none,4,4,4,3,1.8333,2.5,1,1,0,1,1,positivo_confiavel
3727277,long method,function,com.alibaba.druid.pool.DruidPooledCallableStatement#getString int,/src/main/java/com/alibaba/druid/pool/DruidPooledCallableStatement.java,80,87,alibaba/druid,test-smells-alibaba-druid,HASH_OK,768469fe4d1340efe1036453366a58c9ab7e30d1,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3730280,long method,function,com.alibaba.druid.support.monitor.MonitorClient#start,/src/main/java/com/alibaba/druid/support/monitor/MonitorClient.java,181,211,alibaba/druid,test-smells-alibaba-druid,HASH_OK,768469fe4d1340efe1036453366a58c9ab7e30d1,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3732429,blob,class,com.alibaba.druid.pool.DruidDataSource,/src/main/java/com/alibaba/druid/pool/DruidDataSource.java,109,3626,alibaba/druid,test-smells-alibaba-druid,HASH_OK,768469fe4d1340efe1036453366a58c9ab7e30d1,1,8,4,critical|major|major|minor|minor|minor|none|none,6,3,6,3,1.25,1.0,1,1,0,1,1,positivo_confiavel
3735879,long method,function,com.alibaba.otter.shared.etl.model.EventData#setDdlSchemaName String,/shared/etl/src/main/java/com/alibaba/otter/shared/etl/model/EventData.java,227,229,alibaba/otter,test-smells-otter,HASH_OK,a939897df75ae8aafdcbbbce0205d13ac87d6fdb,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3738168,long method,function,com.alibaba.otter.node.etl.model.protobuf.BatchProto.RowData.Builder#clear,/node/etl/src/main/java/com/alibaba/otter/node/etl/model/protobuf/BatchProto.java,4178,4227,alibaba/otter,test-smells-otter,HASH_OK,a939897df75ae8aafdcbbbce0205d13ac87d6fdb,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3739360,long method,function,com.alibaba.druid.pool.DruidPooledConnection#prepareCall String,/src/main/java/com/alibaba/druid/pool/DruidPooledConnection.java,534,563,alibaba/druid,test-smells-alibaba-druid,HASH_OK,768469fe4d1340efe1036453366a58c9ab7e30d1,1,4,2,minor|minor|none|none,2,0,0,1,0.5,0.5,1,0,0,0,0,disputado
3741534,feature envy,function,com.alibaba.otter.manager.web.home.module.screen.DataSourceInfo#execute Long|Context,/manager/web/src/main/java/com/alibaba/otter/manager/web/home/module/screen/DataSourceInfo.java,38,45,alibaba/otter,test-smells-otter,HASH_OK,a939897df75ae8aafdcbbbce0205d13ac87d6fdb,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3742330,long method,function,com.alibaba.otter.shared.common.utils.meta.DdlUtils.makeAllColumnsPrimaryKeysIfNoPrimaryKeysFound Table,/shared/common/src/main/java/com/alibaba/otter/shared/common/utils/meta/DdlUtils.java,270,278,alibaba/otter,test-smells-otter,HASH_OK,a939897df75ae8aafdcbbbce0205d13ac87d6fdb,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3743029,long method,function,com.alibaba.druid.sql.dialect.postgresql.visitor.PGEvalVisitor#incrementAndGetVariantIndex,/src/main/java/com/alibaba/druid/sql/dialect/postgresql/visitor/PGEvalVisitor.java,69,71,alibaba/druid,test-smells-alibaba-druid,HASH_OK,768469fe4d1340efe1036453366a58c9ab7e30d1,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3749791,long method,function,com.alibaba.druid.sql.dialect.oracle.visitor.OracleASTVisitorAdapter#visit OracleExitStatement,/src/main/java/com/alibaba/druid/sql/dialect/oracle/visitor/OracleASTVisitorAdapter.java,909,912,alibaba/druid,test-smells-alibaba-druid,HASH_OK,768469fe4d1340efe1036453366a58c9ab7e30d1,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3753086,feature envy,function,com.alibaba.druid.sql.dialect.mysql.visitor.MySqlASTVisitorAdapter#visit MySqlShowDatabasePartitionStatusStatement,/src/main/java/com/alibaba/druid/sql/dialect/mysql/visitor/MySqlASTVisitorAdapter.java,1320,1323,alibaba/druid,test-smells-alibaba-druid,HASH_OK,768469fe4d1340efe1036453366a58c9ab7e30d1,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3753095,feature envy,function,com.alibaba.druid.stat.TableStat.Condition#addValue Object,/src/main/java/com/alibaba/druid/stat/TableStat.java,327,329,alibaba/druid,test-smells-alibaba-druid,HASH_OK,768469fe4d1340efe1036453366a58c9ab7e30d1,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3754188,blob,class,com.alibaba.druid.sql.dialect.sqlserver.parser.SQLServerSelectParser,/src/main/java/com/alibaba/druid/sql/dialect/sqlserver/parser/SQLServerSelectParser.java,35,210,alibaba/druid,test-smells-alibaba-druid,HASH_OK,768469fe4d1340efe1036453366a58c9ab7e30d1,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3756805,blob,class,com.alibaba.druid.pool.ha.selector.RandomDataSourceSelector,/src/main/java/com/alibaba/druid/pool/ha/selector/RandomDataSourceSelector.java,38,134,alibaba/druid,test-smells-alibaba-druid,HASH_OK,768469fe4d1340efe1036453366a58c9ab7e30d1,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3757097,data class,class,com.alibaba.druid.sql.ast.statement.SQLDropTableStatement,/src/main/java/com/alibaba/druid/sql/ast/statement/SQLDropTableStatement.java,26,146,alibaba/druid,test-smells-alibaba-druid,HASH_OK,768469fe4d1340efe1036453366a58c9ab7e30d1,1,6,3,major|major|major|minor|none|none,4,3,4,2,1.1667,1.5,1,1,0,1,1,positivo_confiavel
3759000,data class,class,storm.trident.windowing.config.BaseWindowConfig,/jstorm-core/src/main/java/storm/trident/windowing/config/BaseWindowConfig.java,21,46,alibaba/jstorm,test-smells-jstorm,HASH_OK,5d6cde22dbca7df3d6e6830bf94f98a6639ab559,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3761009,blob,class,com.alibaba.jstorm.yarn.generated.JstormAM.AsyncProcessor.removeSpecNimbus,/jstorm-on-yarn/src/main/java/com/alibaba/jstorm/yarn/generated/JstormAM.java,1738,1786,alibaba/jstorm,test-smells-jstorm,HASH_OK,5d6cde22dbca7df3d6e6830bf94f98a6639ab559,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3762543,blob,class,storm.trident.topology.state.TransactionalStateStorageZkFactory,/jstorm-core/src/main/java/storm/trident/topology/state/TransactionalStateStorageZkFactory.java,25,30,alibaba/jstorm,test-smells-jstorm,HASH_OK,5d6cde22dbca7df3d6e6830bf94f98a6639ab559,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3762849,feature envy,function,com.amazon.pay.response.model.IdList.IdList List<String>,/src/com/amazon/pay/response/model/IdList.java,69,71,amzn/amazon-pay-sdk-java,,SEM_REPO,5a3547d00c796aab8f0c8ac12e0310f7a5c4678a,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3763661,data class,class,com.amazon.pay.request.SetOrderReferenceDetailsRequest,/src/com/amazon/pay/request/SetOrderReferenceDetailsRequest.java,25,272,amzn/amazon-pay-sdk-java,,SEM_REPO,5a3547d00c796aab8f0c8ac12e0310f7a5c4678a,1,6,3,major|major|major|minor|none|none,4,3,4,2,1.1667,1.5,1,1,0,1,1,positivo_confiavel
3763789,long method,function,backtype.storm.generated.Nimbus.setHostInBlackList_args.findByThriftIdOrThrow int,/jstorm-core/src/main/java/backtype/storm/generated/Nimbus.java,55815,55819,alibaba/jstorm,test-smells-jstorm,HASH_OK,5d6cde22dbca7df3d6e6830bf94f98a6639ab559,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3763847,data class,class,com.amazon.pay.response.ipn.model.ProviderCreditReversalDetails,/src/com/amazon/pay/response/ipn/model/ProviderCreditReversalDetails.java,25,145,amzn/amazon-pay-sdk-java,,SEM_REPO,5a3547d00c796aab8f0c8ac12e0310f7a5c4678a,1,8,4,critical|major|major|minor|none|none|none|none,4,3,6,3,1.0,0.5,1,0,0,1,1,disputado
3764238,blob,class,com.amazon.pay.response.parser.Parser,/src/com/amazon/pay/response/parser/Parser.java,57,252,amzn/amazon-pay-sdk-java,,SEM_REPO,5a3547d00c796aab8f0c8ac12e0310f7a5c4678a,1,6,3,major|major|none|none|none|none,2,2,4,2,0.6667,0.0,1,0,0,1,1,disputado
3764491,data class,class,com.amazon.pay.response.model.SetOrderAttributesResponse,/src/com/amazon/pay/response/model/SetOrderAttributesResponse.java,39,65,amzn/amazon-pay-sdk-java,,SEM_REPO,5a3547d00c796aab8f0c8ac12e0310f7a5c4678a,1,8,4,critical|minor|none|none|none|none|none|none,2,1,6,3,0.5,0.0,1,0,0,1,1,disputado
3770892,long method,function,software.amazon.ion.util.IonTextUtils.printCodePointAsFourHexDigits Appendable|int,/src/software/amazon/ion/util/IonTextUtils.java,353,360,amzn/ion-java,test-smells-ion-java,HASH_OK,a19302d1ebcc5e8ca41d19342581364f89d09c1a,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3772084,blob,class,software.amazon.ion.impl.PrivateIonDatagram,/src/software/amazon/ion/impl/PrivateIonDatagram.java,23,28,amzn/ion-java,test-smells-ion-java,HASH_OK,a19302d1ebcc5e8ca41d19342581364f89d09c1a,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3772718,blob,class,com.alibaba.jstorm.batch.IPrepareCommit,/jstorm-core/src/main/java/com/alibaba/jstorm/batch/IPrepareCommit.java,28,34,alibaba/jstorm,test-smells-jstorm,HASH_OK,5d6cde22dbca7df3d6e6830bf94f98a6639ab559,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3775458,long method,function,software.amazon.ion.Timestamp.checkAndCastYear int,/src/software/amazon/ion/Timestamp.java,2649,2657,amzn/ion-java,test-smells-ion-java,HASH_OK,a19302d1ebcc5e8ca41d19342581364f89d09c1a,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3779095,data class,class,backtype.storm.generated.Nimbus.AsyncClient.getNettyMetricSizeByHost_call,/jstorm-core/src/main/java/backtype/storm/generated/Nimbus.java,3637,3663,alibaba/jstorm,test-smells-jstorm,HASH_OK,5d6cde22dbca7df3d6e6830bf94f98a6639ab559,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3780834,feature envy,function,com.google.android.exoplayer2.offline.SegmentDownloadAction#writeToStream DataOutputStream,/library/core/src/main/java/com/google/android/exoplayer2/offline/SegmentDownloadAction.java,101,111,amzn/exoplayer-amazon-port,,SEM_REPO,90cf56092dca07e8752f8f7e063a0b3b98313942,0.5,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3782985,feature envy,function,com.google.android.exoplayer2.extractor.mkv.MatroskaExtractor.Track.parseMsAcmCodecPrivate ParsableByteArray,/library/core/src/main/java/com/google/android/exoplayer2/extractor/mkv/MatroskaExtractor.java,2101,2116,amzn/exoplayer-amazon-port,,SEM_REPO,90cf56092dca07e8752f8f7e063a0b3b98313942,0.5,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3784303,long method,function,com.alipay.dw.jstorm.example.newindow.FastWordCountTopNWindowTopology.MergeTopN#execute Tuple|Object|TimeWindow,/example/sequence-split-merge/src/main/java/com/alipay/dw/jstorm/example/newindow/FastWordCountTopNWindowTopology.java,235,244,alibaba/jstorm,test-smells-jstorm,HASH_OK,5d6cde22dbca7df3d6e6830bf94f98a6639ab559,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3785267,data class,class,org.apache.accumulo.testing.performance.impl.Compare.TestId,/src/main/java/org/apache/accumulo/testing/performance/impl/Compare.java,40,68,apache/accumulo-testing,test-smells-accumulo-testing,HASH_OK,d87d448278d43750cc978c9f37bacaf7e8591bb9,0,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3785309,long method,function,org.apache.accumulo.testing.randomwalk.bulk.Merge#runLater State|RandWalkEnv,/src/main/java/org/apache/accumulo/testing/randomwalk/bulk/Merge.java,28,34,apache/accumulo-testing,test-smells-accumulo-testing,HASH_OK,d87d448278d43750cc978c9f37bacaf7e8591bb9,0,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3786480,blob,class,com.google.android.exoplayer2.ext.okhttp.OkHttpDataSource,/extensions/okhttp/src/main/java/com/google/android/exoplayer2/ext/okhttp/OkHttpDataSource.java,48,389,amzn/exoplayer-amazon-port,,SEM_REPO,90cf56092dca07e8752f8f7e063a0b3b98313942,0.5,6,3,major|major|minor|none|none|none,3,2,4,2,0.8333,0.5,1,0,0,1,1,disputado
3787706,data class,class,org.apache.storm.starter.trident.TridentFastWordCount.Split,/example/sequence-split-merge/src/main/java/org/apache/storm/starter/trident/TridentFastWordCount.java,45,53,alibaba/jstorm,test-smells-jstorm,HASH_OK,5d6cde22dbca7df3d6e6830bf94f98a6639ab559,1,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
3788627,blob,class,com.google.android.exoplayer2.C,/library/core/src/main/java/com/google/android/exoplayer2/C.java,39,1015,amzn/exoplayer-amazon-port,,SEM_REPO,90cf56092dca07e8752f8f7e063a0b3b98313942,0.5,6,3,critical|major|none|none|none|none,2,2,4,3,0.8333,0.0,1,0,0,1,1,disputado
3789205,blob,class,com.google.android.exoplayer2.source.smoothstreaming.manifest.SsManifestParser.ElementParser,/library/smoothstreaming/src/main/java/com/google/android/exoplayer2/source/smoothstreaming/manifest/SsManifestParser.java,92,320,amzn/exoplayer-amazon-port,,SEM_REPO,90cf56092dca07e8752f8f7e063a0b3b98313942,0.5,8,4,major|minor|none|none|none|none|none|none,2,1,6,2,0.375,0.0,1,0,0,1,1,disputado
3790421,long method,function,com.google.android.exoplayer2.source.AbstractConcatenatedTimeline#getUidOfPeriod int,/library/core/src/main/java/com/google/android/exoplayer2/source/AbstractConcatenatedTimeline.java,244,251,amzn/exoplayer-amazon-port,,SEM_REPO,90cf56092dca07e8752f8f7e063a0b3b98313942,0.5,2,1,none|none,0,0,0,0,0.0,0.0,0,0,0,0,0,negativo_confiavel
